664
2
37.52,-4.11,Jaen
37.55,-3.00,Jaen
37.58,-3.48,Jaen
38.00,-3.28,Jaen
38.01,-3.23,Jaen
38.02,-4.03,Jaen
38.06,-3.38,Jaen
38.06,-3.46,Jaen
38.07,-3.05,Jaen
38.15,-2.53,Jaen
38.17,-3.37,Jaen
38.19,-2.39,Jaen
42.17,-5.31,Leon
42.17,-5.52,Leon
42.22,-5.02,Leon
42.27,-6.09,Leon
42.33,-6.35,Leon
42.36,-5.34,Leon
42.37,-6.49,Leon
42.48,-5.08,Leon
42.51,-5.25,Leon
42.52,-6.11,Leon
42.56,-6.19,Leon
42.59,-5.00,Leon
41.31,0.52,Lleida
41.37,0.38,Lleida
41.39,1.09,Lleida
41.41,1.16,Lleida
41.47,0.48,Lleida
41.47,1.06,Lleida
41.54,1.03,Lleida
42.00,0.45,Lleida
42.00,1.31,Lleida
42.10,0.54,Lleida
42.15,0.58,Lleida
42.22,1.28,Lleida
42.25,0.45,Lleida
42.25,1.08,Lleida
42.38,1.08,Lleida
42.42,0.48,Lleida
42.02,-1.58,Logrono
42.10,-1.45,Logrono
42.14,-2.05,Logrono
42.15,-2.37,Logrono
42.18,-1.59,Logrono
42.25,-2.45,Logrono
42.26,-2.57,Logrono
42.28,-2.27,Logrono
42.36,-2.48,Logrono
42.28,-7.15,Lugo
42.31,-7.30,Lugo
42.36,-7.46,Lugo
42.47,-7.25,Lugo
42.51,-7.10,Lugo
43.01,-7.33,Lugo
43.08,-7.04,Lugo
43.17,-7.41,Lugo
43.25,-7.23,Lugo
43.32,-7.03,Lugo
43.39,-7.38,Lugo
40.01,-3.38,Madrid
40.08,-3.26,Madrid
40.14,-3.43,Madrid
40.17,-3.48,Madrid
40.17,-4.01,Madrid
40.18,-3.44,Madrid
40.19,-3.26,Madrid
40.19,-3.46,Madrid
40.20,-3.50,Madrid
40.20,-3.52,Madrid
40.21,-4.24,Madrid
40.24,-3.41,Madrid
40.27,-3.29,Madrid
40.28,-3.22,Madrid
40.32,-3.38,Madrid
40.35,-4.05,Madrid
40.36,-3.59,Madrid
40.39,-3.47,Madrid
40.50,-3.35,Madrid
36.25,-5.09,Malaga
36.30,-4.54,Malaga
36.31,-5.19,Malaga
36.32,-4.38,Malaga
36.38,-4.30,Malaga
36.40,-4.46,Malaga
36.43,-4.25,Malaga
36.44,-3.53,Malaga
36.45,-5.10,Malaga
36.46,-3.57,Malaga
36.47,-4.05,Malaga
36.49,-4.42,Malaga
36.54,-4.20,Malaga
37.01,-4.33,Malaga
37.03,-4.51,Malaga
37.06,-4.23,Malaga
38.34,3.13,Mallorca
39.28,3.10,Mallorca
39.29,2.53,Mallorca
39.35,2.25,Mallorca
39.35,2.39,Mallorca
39.42,3.21,Mallorca
39.43,2.55,Mallorca
39.46,2.43,Mallorca
39.51,3.23,Mallorca
39.53,4.16,Menorca
40.00,3.50,Menorca
37.24,-1.35,Murcia
37.36,-0.59,Murcia
37.41,-1.42,Murcia
37.46,-1.30,Murcia
37.49,-0.50,Murcia
37.59,-1.07,Murcia
38.03,-1.13,Murcia
38.03,-1.30,Murcia
38.08,-1.52,Murcia
38.15,-1.25,Murcia
38.29,-1.20,Murcia
38.37,-1.07,Murcia
42.04,-1.36,Navarra
42.30,-1.42,Navarra
42.35,-1.17,Navarra
42.40,-1.49,Navarra
42.40,-2.02,Navarra
42.46,-1.22,Navarra
42.49,-1.38,Navarra
42.50,-0.55,Navarra
42.54,-2.10,Navarra
43.01,-1.20,Navarra
41.57,-7.27,Orense
42.03,-7.44,Orense
42.03,-7.58,Orense
42.09,-7.58,Orense
42.11,-7.07,Orense
42.11,-7.50,Orense
42.17,-8.08,Orense
42.20,-7.15,Orense
42.20,-7.52,Orense
42.25,-6.59,Orense
42.26,-8.05,Orense
41.56,-4.15,Palencia
41.56,-4.30,Palencia
42.00,-4.32,Palencia
42.09,-4.50,Palencia
42.12,-4.17,Palencia
42.20,-4.36,Palencia
42.32,-4.44,Palencia
42.35,-4.20,Palencia
42.48,-4.15,Palencia
42.51,-4.30,Palencia
41.56,-8.52,Pontevedra
42.03,-8.39,Pontevedra
42.10,-8.28,Pontevedra
42.12,-8.39,Pontevedra
42.13,-8.16,Pontevedra
42.15,-8.43,Pontevedra
42.17,-8.37,Pontevedra
42.24,-8.48,Pontevedra
42.26,-8.39,Pontevedra
42.31,-8.49,Pontevedra
42.36,-8.39,Pontevedra
42.36,-8.46,Pontevedra
42.40,-8.07,Pontevedra
42.42,-8.29,Pontevedra
40.23,-5.46,Salamanca
40.31,-6.02,Salamanca
40.33,-5.40,Salamanca
40.36,-6.32,Salamanca
40.50,-5.30,Salamanca
40.54,-5.13,Salamanca
40.56,-6.43,Salamanca
40.57,-5.40,Salamanca
41.01,-6.26,Salamanca
41.05,-5.59,Salamanca
43.00,-4.08,Santader
43.10,-4.37,Santander
43.14,-3.48,Santander
43.14,-4.18,Santander
43.15,-3.28,Santander
43.20,-4.02,Santander
43.23,-3.13,Santander
43.24,-4.24,Santander
43.26,-3.28,Santander
43.27,-3.29,Santander
43.28,-3.48,Santander
40.47,-4.25,Segovia
40.57,-4.07,Segovia
41.04,-4.24,Segovia
41.18,-3.30,Segovia
41.18,-3.43,Segovia
41.23,-4.21,Segovia
36.55,-6.05,Sevilla
37.07,-5.28,Sevilla
37.10,-5.55,Sevilla
37.11,-5.46,Sevilla
37.14,-5.07,Sevilla
37.17,-4.52,Sevilla
37.17,-5.55,Sevilla
37.18,-6.04,Sevilla
37.20,-5.26,Sevilla
37.20,-5.50,Sevilla
37.23,-5.59,Sevilla
37.24,-6.12,Sevilla
37.28,-5.38,Sevilla
37.31,-5.58,Sevilla
37.32,-5.05,Sevilla
37.39,-5.32,Sevilla
37.52,-6.04,Sevilla
37.56,-5.45,Sevilla
41.11,-2.26,Soria
41.29,-2.32,Soria
41.35,-3.04,Soria
41.46,-2.28,Soria
41.49,-1.54,Soria
40.23,0.34,Tarragona
40.43,0.30,Tarragona
40.49,0.31,Tarragona
40.52,0.43,Tarragona
41.03,0.26,Tarragona
41.06,0.38,Tarragona
41.07,1.16,Tarragona
41.09,0.50,Tarragona
41.10,1.06,Tarragona
41.11,0.34,Tarragona
41.13,1.32,Tarragona
41.17,1.15,Tarragona
41.23,1.10,Tarragona
27.48,-17.54,Tenerife
28.05,-17.08,Tenerife
28.07,-16.35,Tenerife
28.22,-16.43,Tenerife
28.25,-16.33,Tenerife
28.28,-16.15,Tenerife
28.40,-17.56,Tenerife
28.41,-17.45,Tenerife
40.02,-0.57,Teruel
40.15,-0.45,Teruel
40.20,-1.06,Teruel
40.25,-1.27,Teruel
40.40,-0.42,Teruel
40.47,-1.20,Teruel
40.48,-0.20,Teruel
40.50,-0.48,Teruel
40.52,0.10,Teruel
40.55,-1.17,Teruel
40.56,-0.14,Teruel
41.02,-0.08,Teruel
41.02,-0.49,Teruel
41.10,-0.27,Teruel
39.28,-3.33,Toledo
39.35,-3.03,Toledo
39.39,-3.53,Toledo
39.39,-4.28,Toledo
39.48,-5.10,Toledo
39.51,-4.01,Toledo
39.57,-3.30,Toledo
39.58,-4.50,Toledo
39.59,-4.17,Toledo
40.08,-3.51,Toledo
40.09,-4.24,Toledo
38.50,-0.36,Valencia
38.51,-0.31,Valencia
38.55,-0.07,Valencia
38.58,-0.11,Valencia
38.59,-0.40,Valencia
39.00,-0.31,Valencia
39.03,-1.03,Valencia
39.07,-0.31,Valencia
39.08,-0.28,Valencia
39.09,-0.26,Valencia
39.10,-0.15,Valencia
39.12,-0.20,Valencia
39.12,-0.26,Valencia
39.13,-1.04,Valencia
39.14,-0.31,Valencia
39.17,-0.25,Valencia
39.22,-0.24,Valencia
39.24,-0.24,Valencia
39.26,-0.28,Valencia
39.28,-0.22,Valencia
39.28,-0.43,Valencia
39.29,-0.28,Valencia
39.30,-0.25,Valencia
39.30,-0.26,Valencia
39.30,-1.06,Valencia
39.34,-0.20,Valencia
39.34,-1.12,Valencia
39.37,-0.36,Valencia
39.41,-0.16,Valencia
39.44,-0.50,Valencia
39.45,-1.00,Valencia
41.17,-4.41,Valladolid
41.18,-4.55,Valladolid
41.20,-5.05,Valladolid
41.30,-5.00,Valladolid
41.36,-4.07,Valladolid
41.38,-5.11,Valladolid
41.39,-4.44,Valladolid
41.48,-4.32,Valladolid
41.53,-5.03,Valladolid
42.06,-5.02,Valladolid
43.12,-3.14,Vizcaya
43.13,-2.40,Vizcaya
43.15,-2.55,Vizcaya
43.18,-2.30,Vizcaya
43.19,-2.40,Vizcaya
43.20,-2.57,Vizcaya
43.25,-2.44,Vizcaya
41.14,-5.30,Zamora
41.22,-6.07,Zamora
41.30,-5.45,Zamora
41.31,-5.24,Zamora
41.42,-6.21,Zamora
41.52,-5.25,Zamora
42.00,-5.41,Zamora
42.03,-6.39,Zamora
41.07,-1.25,Zaragoza
41.13,0.02,Zaragoza
41.14,-0.02,Zaragoza
41.17,-0.20,Zaragoza
41.18,-0.45,Zaragoza
41.19,-2.03,Zaragoza
41.20,-1.13,Zaragoza
41.20,-1.48,Zaragoza
41.21,-1.38,Zaragoza
41.29,-0.10,Zaragoza
41.29,-0.32,Zaragoza
41.29,-1.23,Zaragoza
41.39,-0.52,Zaragoza
41.49,-1.32,Zaragoza
41.52,-0.47,Zaragoza
41.54,-1.43,Zaragoza
41.56,-1.15,Zaragoza
42.07,-1.09,Zaragoza
42.17,-1.16,Zaragoza
42.29,-1.12,Zaragoza
